Date,Affected pages
2026-07-10,3
2026-07-11,4
2026-07-12,4
2026-07-13,4
2026-07-14,4
2026-07-15,4
2026-07-16,4
2026-07-17,4
2026-07-18,4
2026-07-19,4
2026-07-20,4
2026-07-21,4
2026-07-22,4
2026-07-23,4
2026-07-24,4
2026-07-25,5
2026-07-26,5
2026-07-27,5
2026-07-28,5
2026-07-29,5
2026-07-30,5
2026-07-31,5
2026-08-01,5
2026-08-02,5
2026-08-03,5
2026-08-04,5
2026-08-05,5
2026-08-06,5
2026-08-07,5
2026-08-08,8
2026-08-09,8
2026-08-10,8
2026-08-11,8
2026-08-12,8
2026-08-13,8
2026-08-14,8
2026-08-15,8
2026-08-16,8
2026-08-17,8
2026-08-18,8
2026-08-19,8
2026-08-20,8
2026-08-21,8
