Date,Clicks,Impressions,CTR,Position
2026-07-01,3,12,25%,5.2
2026-07-02,1,24,4.17%,3
2026-07-03,2,11,18.18%,7.7
2026-07-04,1,14,7.14%,4.6
2026-07-05,3,20,15%,8.8
2026-07-06,3,28,10.71%,8.4
2026-07-07,5,22,22.73%,3.5
2026-07-08,0,23,0%,4
2026-07-09,1,13,7.69%,5.3
2026-07-10,2,28,7.14%,6.4
2026-07-11,3,17,17.65%,6.6
2026-07-12,2,31,6.45%,7.6
2026-07-13,4,23,17.39%,4.1
2026-07-14,4,14,28.57%,9
2026-07-15,4,15,26.67%,3.6
2026-07-16,4,16,25%,2.8
2026-07-17,4,14,28.57%,4.2
2026-07-18,2,10,20%,6.9
2026-07-19,4,20,20%,5.5
2026-07-20,0,13,0%,10.5
2026-07-21,0,6,0%,11
2026-07-22,0,8,0%,10.8
2026-07-23,0,10,0%,11.7
2026-07-24,0,14,0%,6.4
2026-07-25,1,11,9.09%,3.5
2026-07-26,0,17,0%,7.3
2026-07-27,3,23,13.04%,4.2
2026-07-28,2,12,16.67%,4.3
2026-07-29,1,13,7.69%,5.1
2026-07-30,2,16,12.5%,5.9
2026-07-31,3,17,17.65%,9.8
2026-08-01,0,19,0%,6.5
2026-08-02,1,18,5.56%,7.9
2026-08-03,4,12,33.33%,7.1
2026-08-04,0,6,0%,7.2
2026-08-05,2,15,13.33%,6.9
2026-08-06,1,13,7.69%,9.6
2026-08-07,3,7,42.86%,4.9
2026-08-08,0,15,0%,6.7
2026-08-09,0,10,0%,14.6
2026-08-10,0,14,0%,12.7
2026-08-11,2,13,15.38%,10.5
2026-08-12,2,10,20%,9.6
2026-08-13,1,15,6.67%,6.9
2026-08-14,0,9,0%,14.7
2026-08-15,1,11,9.09%,11.5
2026-08-16,1,15,6.67%,17.8
2026-08-17,0,14,0%,17.1
2026-08-18,1,14,7.14%,7
2026-08-19,1,5,20%,25
2026-08-20,1,12,8.33%,5.2
2026-08-21,3,21,14.29%,11.9
2026-08-22,1,12,8.33%,3.7
2026-08-23,2,20,10%,9.2
2026-08-24,3,18,16.67%,5.8
2026-08-25,3,17,17.65%,7.1
2026-08-26,1,12,8.33%,15.1
