Country,Clicks,Impressions,CTR,Position
United States,18,147,12.24%,10.35
Canada,7,22,31.82%,3.45
Italy,5,32,15.62%,7
Australia,5,29,17.24%,4
United Kingdom,4,28,14.29%,8.11
Israel,1,4,25%,2.75
Hungary,1,2,50%,1
Uganda,1,2,50%,1
Poland,1,2,50%,2
Croatia,1,2,50%,2.5
Austria,1,1,100%,1
Greece,1,1,100%,1
France,0,5,0%,9.4
Spain,0,3,0%,1
New Zealand,0,3,0%,1
Netherlands,0,3,0%,3
Bulgaria,0,2,0%,1
Vietnam,0,2,0%,40
Portugal,0,1,0%,1
Singapore,0,1,0%,1
Indonesia,0,1,0%,2
Belgium,0,1,0%,3
Germany,0,1,0%,3
Finland,0,1,0%,3
Ireland,0,1,0%,4
Sweden,0,1,0%,6
Switzerland,0,1,0%,9
Serbia,0,1,0%,10
Malaysia,0,1,0%,34
Thailand,0,1,0%,39
Turkey,0,1,0%,92
