Date,Clicks,Impressions,CTR,Position
2026-07-01,4,33,12.12%,6.6
2026-07-02,1,49,2.04%,4.9
2026-07-03,3,34,8.82%,11.3
2026-07-04,1,33,3.03%,9.1
2026-07-05,5,56,8.93%,11.1
2026-07-06,3,56,5.36%,9.4
2026-07-07,6,40,15%,4.8
2026-07-08,1,51,1.96%,11.5
2026-07-09,1,35,2.86%,9.6
2026-07-10,2,54,3.7%,9.4
2026-07-11,5,50,10%,11.3
2026-07-12,2,57,3.51%,10.4
2026-07-13,5,46,10.87%,7.1
2026-07-14,5,40,12.5%,13.3
2026-07-15,4,34,11.76%,6.9
2026-07-16,4,39,10.26%,9.3
2026-07-17,4,39,10.26%,10.6
2026-07-18,2,28,7.14%,7.9
2026-07-19,8,54,14.81%,12.6
2026-07-20,0,41,0%,13.5
2026-07-21,0,29,0%,10.2
2026-07-22,1,28,3.57%,11.7
2026-07-23,0,30,0%,15.5
2026-07-24,2,30,6.67%,7.5
2026-07-25,1,25,4%,5.2
2026-07-26,1,55,1.82%,8.8
2026-07-27,5,45,11.11%,7
2026-07-28,3,32,9.38%,7.5
2026-07-29,2,30,6.67%,6.6
2026-07-30,2,40,5%,11.8
2026-07-31,4,35,11.43%,9.3
2026-08-01,1,52,1.92%,9.3
2026-08-02,1,63,1.59%,8.8
2026-08-03,4,29,13.79%,8
2026-08-04,1,21,4.76%,8.5
2026-08-05,2,37,5.41%,9.6
2026-08-06,3,34,8.82%,8.1
2026-08-07,5,20,25%,6
2026-08-08,2,51,3.92%,9
2026-08-09,0,44,0%,10.1
2026-08-10,3,65,4.62%,10.1
2026-08-11,2,45,4.44%,9.4
2026-08-12,2,35,5.71%,9.9
2026-08-13,1,47,2.13%,11.7
2026-08-14,2,38,5.26%,7.7
2026-08-15,1,37,2.7%,10.1
2026-08-16,1,58,1.72%,12.2
2026-08-17,0,52,0%,10.9
2026-08-18,1,41,2.44%,8.2
2026-08-19,1,28,3.57%,10
2026-08-20,1,36,2.78%,8.5
2026-08-21,4,54,7.41%,9.6
2026-08-22,1,43,2.33%,4.9
2026-08-23,5,52,9.62%,8
2026-08-24,3,43,6.98%,6.8
2026-08-25,3,39,7.69%,11.3
2026-08-26,3,34,8.82%,11.8
