Country,Clicks,Impressions,CTR,Position
United States,43,495,8.69%,12.35
Italy,29,970,2.99%,7.1
Canada,21,113,18.58%,8.42
United Kingdom,12,162,7.41%,13.2
Australia,11,110,10%,5.77
Germany,3,61,4.92%,5.8
Norway,3,13,23.08%,3.77
Spain,2,44,4.55%,6.7
Hungary,2,13,15.38%,4.46
Croatia,2,11,18.18%,5.55
Austria,2,9,22.22%,5.56
Bulgaria,2,5,40%,7
Netherlands,1,50,2%,7.12
Poland,1,23,4.35%,4.91
Israel,1,23,4.35%,6.17
Greece,1,10,10%,9.1
Portugal,1,9,11.11%,5.44
South Africa,1,6,16.67%,8.5
Pakistan,1,3,33.33%,34.33
Uganda,1,2,50%,1
France,0,30,0%,11.43
Sweden,0,16,0%,6.5
Belgium,0,15,0%,3.6
Ireland,0,15,0%,8.07
New Zealand,0,11,0%,9.91
India,0,11,0%,60
Switzerland,0,10,0%,8.4
Brazil,0,10,0%,11.1
Vietnam,0,9,0%,31.33
Finland,0,7,0%,5.14
Indonesia,0,6,0%,18.17
Thailand,0,6,0%,22.5
Philippines,0,6,0%,48.5
Czechia,0,5,0%,8.6
Turkey,0,5,0%,47.6
Singapore,0,4,0%,2.5
Malta,0,4,0%,4.75
Denmark,0,3,0%,6.33
Cyprus,0,3,0%,8.33
Slovakia,0,3,0%,15
Bangladesh,0,3,0%,21.67
Mexico,0,3,0%,50.33
Jersey,0,2,0%,2.5
Iceland,0,2,0%,4.5
United Arab Emirates,0,2,0%,7
Serbia,0,2,0%,10.5
Ukraine,0,2,0%,23.5
Malaysia,0,2,0%,36.5
Russia,0,2,0%,40
Japan,0,1,0%,1
Macedonia,0,1,0%,1
Guernsey,0,1,0%,2
Chile,0,1,0%,3
Romania,0,1,0%,3
Cambodia,0,1,0%,5
Venezuela,0,1,0%,7
Argentina,0,1,0%,8
Armenia,0,1,0%,9
Saudi Arabia,0,1,0%,17
Kuwait,0,1,0%,23
Algeria,0,1,0%,41
Morocco,0,1,0%,42
Ethiopia,0,1,0%,46
Jordan,0,1,0%,46
