Top pages,Clicks,Impressions,CTR,Position
https://nogluteataly.com/,98,862,11.37%,7.55
http://www.nogluteataly.com/,34,1411,2.41%,7.82
https://nogluteataly.com/discover-gluten-free-cooking-classes-in-rome/,4,75,5.33%,9.68
https://nogluteataly.com/gluten-free-rome-ultimate-guide-for-celiacs-2026/,2,34,5.88%,8.12
https://nogluteataly.com/gluten-free-rome-itinerary-3-days-for-celiacs/,1,240,0.42%,20.57
https://nogluteataly.com/contact/,1,140,0.71%,12.56
https://nogluteataly.com/blog/,0,116,0%,8.29
https://nogluteataly.com/faq/,0,83,0%,9.94
https://nogluteataly.com/tours/,0,83,0%,9.94
https://nogluteataly.com/the-original-gluten-free-pasta-lovers-tour-of-rome-gelato/,0,71,0%,8.24
https://www.nogluteataly.com/,0,45,0%,4.93
https://nogluteataly.com/tag/cooking-classes/,0,7,0%,2
https://nogluteataly.com/tag/celiac-rome/,0,6,0%,3
https://nogluteataly.com/wp-content/uploads/2026/04/20251114_104948-577x1024.jpg,0,1,0%,6
